Tick,BehaviourType,FuelToBuy,Price,TotalRequests,TicksToFuel,TravelDiff,PriceIntolerance
500,1,119,,,,19,1.1227195798095708
500,0,56,,,,24,0.902254342636887
500,3,,0.4326547682301618,0,22,,
500,2,,0.9884261242601394,0,16,,
500,0,,,35.0,7,100,1.1114203298756475
500,2,,0.46722465344336084,0,21,,
500,1,89,,,,14,1.0352348644071823
500,3,,1.9405121826317542,0,38,,
500,0,146,,,,23,1.0064720430432734
500,1,,,.0,7,49,1.0934946431931787
500,2,,3.557664292745327,0,16,,
500,1,139,,,,18,0.739310669761738
500,3,,0.92773354140339,0,22,,
500,0,,,20.0,7,51,1.2319134003222896
500,3,,3.784798397526366,0,33,,
500,2,,1.8609202223792178,0,53,,
500,1,57,,,,1,1.1694553977701883
500,3,,2.336222244164259,0,33,,
500,0,73,,,,41,0.8641664760832563
500,2,,0.5628076070966914,0,48,,
1000,1,119,,,,19,1.1227195798095708
1000,0,56,,,,24,0.902254342636887
1000,3,,0.4326547682301618,0,22,,
1000,2,,0.9884261242601394,0,16,,
1000,0,,,35.0,7,100,1.1114203298756475
1000,2,,0.46722465344336084,0,21,,
1000,1,89,,,,14,1.0352348644071823
1000,3,,1.9405121826317542,0,38,,
1000,0,146,,,,23,1.0064720430432734
1000,1,,,.0,7,49,1.0934946431931787
1000,2,,3.557664292745327,0,16,,
1000,1,139,,,,18,0.739310669761738
1000,3,,0.92773354140339,0,22,,
1000,0,,,20.0,7,51,1.2319134003222896
1000,3,,3.784798397526366,0,33,,
1000,2,,1.8609202223792178,0,53,,
1000,1,57,,,,1,1.1694553977701883
1000,3,,2.336222244164259,0,33,,
1000,0,73,,,,41,0.8641664760832563
1000,2,,0.5628076070966914,0,48,,
1500,1,119,,,,19,1.1227195798095708
1500,0,56,,,,24,0.902254342636887
1500,3,,0.4326547682301618,0,22,,
1500,2,,0.9884261242601394,0,16,,
1500,0,,,35.0,7,100,1.1114203298756475
1500,2,,0.46722465344336084,0,21,,
1500,1,89,,,,14,1.0352348644071823
1500,3,,1.9405121826317542,0,38,,
1500,0,146,,,,23,1.0064720430432734
1500,1,,,.0,7,49,1.0934946431931787
1500,2,,3.557664292745327,0,16,,
1500,1,139,,,,18,0.739310669761738
1500,3,,0.92773354140339,0,22,,
1500,0,,,20.0,7,51,1.2319134003222896
1500,3,,3.784798397526366,0,33,,
1500,2,,1.8609202223792178,0,53,,
1500,1,57,,,,1,1.1694553977701883
1500,3,,2.336222244164259,0,33,,
1500,0,73,,,,41,0.8641664760832563
1500,2,,0.5628076070966914,0,48,,
2000,1,119,,,,19,1.1227195798095708
