Tick,BehaviourType,FuelToBuy,Price,TotalRequests,TicksToFuel,TravelDiff,PriceIntolerance
500.0,1.0,119.0,,1.0,,19.0,1.1227195798095708
500.0,0.0,56.0,,17.0,,24.0,0.902254342636887
500.0,3.0,,0.4326547682301618,5.0,22.0,,
500.0,2.0,,0.9884261242601394,3.0,16.0,,
500.0,0.0,125.0,,9.0,,100.0,1.1114203298756475
500.0,2.0,,0.4672246534433608,9.0,21.0,,
500.0,1.0,89.0,,27.0,,14.0,1.0352348644071825
500.0,3.0,,1.9405121826317544,11.0,38.0,,
500.0,0.0,146.0,,17.0,,23.0,1.0064720430432734
500.0,1.0,103.0,,5.0,,49.0,1.093494643193179
500.0,2.0,,3.557664292745327,7.0,16.0,,
500.0,1.0,139.0,,39.0,,18.0,0.739310669761738
500.0,3.0,,0.92773354140339,19.0,22.0,,
500.0,0.0,129.0,,0.0,,51.0,1.2319134003222896
500.0,3.0,,3.784798397526366,2.0,33.0,,
500.0,2.0,,1.8609202223792176,16.0,53.0,,
500.0,1.0,57.0,,22.0,,1.0,1.1694553977701885
500.0,3.0,,2.336222244164259,10.0,33.0,,
500.0,0.0,73.0,,9.0,,41.0,0.8641664760832563
500.0,2.0,,0.5628076070966914,4.0,48.0,,
1000.0,1.0,119.0,,38.0,,19.0,1.1227195798095708
1000.0,0.0,56.0,,12.0,,24.0,0.902254342636887
1000.0,3.0,,0.4326547682301618,0.0,22.0,,
1000.0,2.0,,0.9884261242601394,3.0,16.0,,
1000.0,0.0,125.0,,2.0,,100.0,1.1114203298756475
1000.0,2.0,,0.4672246534433608,9.0,21.0,,
1000.0,1.0,89.0,,24.0,,14.0,1.0352348644071825
1000.0,3.0,,1.9405121826317544,11.0,38.0,,
1000.0,0.0,146.0,,2.0,,23.0,1.0064720430432734
1000.0,1.0,103.0,,1.0,,49.0,1.093494643193179
1000.0,2.0,,3.557664292745327,14.0,16.0,,
1000.0,1.0,139.0,,8.0,,18.0,0.739310669761738
1000.0,3.0,,0.92773354140339,8.0,22.0,,
1000.0,0.0,129.0,,13.0,,51.0,1.2319134003222896
